序号,主体系,二级标签主,三级标签,标签置信度,标签依据,修正说明,母公司,母公司置信度
138,,,,,人工复核,实为保健食品生产（R1泛健康），清除service兜底
361,device,IVD-平台技术,,中,人工复核,登记批发实为肿瘤早筛研发（常易舒），登记信息失真
465,,,,,人工复核,生物医学企业但业务未公开，清除周边配套兜底
77,,,,,人工复核,实为展览培训平台（R2），清除device兜底
118,service,医药流通与供应链,,低,人工复核,技术开发+器械销售，实为流通而非device
181,,,,,人工复核,实为投资孵化平台（R2），清除device兜底
276,,,,,人工复核,业务未公开，清除device兜底
347,,,,,人工复核,实为机器人（R2疑似待核），清除device兜底
524,,,,,人工复核,业务未公开，清除device兜底
555,,,,,人工复核,实为售后维保服务（R2），清除device兜底
405,service,医药供应链上游配套,制药装备及耗材,中,人工复核,无菌隔离系统属制药装备而非院感消杀
472,service,CRO-发现与前期研究,,中,人工复核,盲验：科研服务商（细胞/分子平台+PCR试剂盒），非IVD平台
903,service,医药流通与供应链,批发零售,中,人工复核,盲验：idsMED流通企业，非device
367,service,医药供应链上游配套,制药装备及耗材,中,人工复核,盲验：连接器制造商（医疗为下游），非流通
1956,,,,,人工复核,盲验：实际股东为上海芯像生物科技有限公司,上海芯像生物科技有限公司,确定
250,,,,,人工复核,盲验：母公司现名国药集团现代制药,上海现代制药股份有限公司（现名：国药集团现代制药）,确定
264,drug,复杂制剂,复杂注射剂,中,人工复核,高端制剂企业（脂质体/微球/纳米粒复杂注射剂）,,
707,service,医药供应链上游配套,制药装备及耗材,中,人工复核,LNP封装装备企业（R2供应链），非drug体系,,
